# Arts Historical Concepts - Research-verified list
# Format: era_start | name_en | name_ja | key_figure

# === Ancient to Medieval (-500 to 1400) ===
-472 | Greek Tragedy (Catharsis) | ギリシャ悲劇（カタルシス） | Aeschylus/Aristotle
-400 | Mimesis (Artistic Imitation) | ミメーシス（芸術的模倣） | Plato/Aristotle
-350 | Aristotelian Poetics | アリストテレスの詩学 | Aristotle
-100 | Roman Rhetorical Theory | ローマ修辞学理論 | Cicero/Quintilian
-200 | Natya Shastra (Indian Performing Arts) | ナーティヤ・シャーストラ（インド舞台芸術） | Bharata Muni
100 | Longinus's On the Sublime | ロンギノスの崇高論 | Pseudo-Longinus
500 | Byzantine Icon Theology | ビザンティンイコン神学 | John of Damascus
550 | Gregorian Chant | グレゴリオ聖歌 | Pope Gregory I (trad.)
730 | Iconoclasm Debate | 聖像破壊論争 | Byzantine emperors
800 | Islamic Geometric Art | イスラーム幾何学装飾 | Islamic artists
850 | Japanese Waka Poetry Aesthetics | 和歌の美学 | Ki no Tsurayuki
1000 | Genji Monogatari (Literary Aesthetics) | 源氏物語の文学美学 | Murasaki Shikibu
500 | Xie He's Six Principles of Chinese Painting | 謝赫の画の六法 | Xie He
1100 | Romanesque Architecture | ロマネスク建築 | Various
1140 | Gothic Architecture | ゴシック建築 | Abbot Suger
1200 | Troubadour Lyric Poetry | トルバドゥール叙情詩 | Various troubadours
1260 | Giotto's Naturalism | ジョットの自然主義 | Giotto di Bondone
1300 | Dante's Literary Theory | ダンテの文学理論 | Dante Alighieri
1333 | Japanese Noh Aesthetics | 能の美学 | Kan'ami/Zeami
1374 | Petrarchan Lyric | ペトラルカの叙情詩 | Petrarch

# === Renaissance to Baroque (1400-1700) ===
1413 | Linear Perspective | 線遠近法 | Filippo Brunelleschi
1435 | Alberti's Art Theory (De Pictura) | アルベルティの芸術論 | Leon Battista Alberti
1450 | Renaissance Humanism in Art | ルネサンスにおける芸術の人文主義 | Various
1490 | Leonardo's Artistic Theory | レオナルドの芸術理論 | Leonardo da Vinci
1498 | Leonardo's sfumato | レオナルドのスフマート技法 | Leonardo da Vinci
1504 | Michelangelo's Ideal Human Form | ミケランジェロの理想的人体表現 | Michelangelo
1508 | Raphael's High Renaissance Style | ラファエロの盛期ルネサンス様式 | Raphael
1528 | Castiglione's Sprezzatura | カスティリオーネのスプレッツァトゥーラ | Baldassare Castiglione
1550 | Mannerism | マニエリスム | Giorgio Vasari
1573 | Venetian Colorism | ヴェネツィア派の色彩主義 | Titian/Tintoretto
1580 | Monteverdi's Musical Drama | モンテヴェルディの音楽劇 | Claudio Monteverdi
1597 | Birth of Opera (Dafne) | オペラの誕生 | Jacopo Peri
1600 | Baroque Aesthetics | バロック美学 | Caravaggio/Bernini
1624 | Bernini's Theatrical Sculpture | ベルニーニの劇場的彫刻 | Gian Lorenzo Bernini
1637 | Descartes and the Aesthetics of Reason | デカルトと理性の美学 | Rene Descartes
1650 | Rembrandt's Chiaroscuro | レンブラントの明暗法 | Rembrandt
1660 | French Classicism | フランス古典主義 | Nicolas Boileau
1680 | Bach's Counterpoint | バッハの対位法 | J.S. Bach
1488 | Japanese Tea Ceremony Aesthetics (Wabi) | 茶の湯の美学（侘び） | Murata Juko
1590 | Rikyu's Wabi-Sabi | 利休の侘び寂び | Sen no Rikyu
1680 | Matsuo Basho's Haiku Aesthetics | 松尾芭蕉の俳諧美学 | Matsuo Basho
1670 | Ukiyo-e Woodblock Printing | 浮世絵木版画 | Hishikawa Moronobu
1690 | Chikamatsu's Puppet Theater | 近松の人形浄瑠璃 | Chikamatsu Monzaemon

# === 18th-19th Century (1700-1900) ===
1735 | Baumgarten's Aesthetics (Discipline Founded) | バウムガルテンの美学（学問の成立） | Alexander Baumgarten
1757 | Burke's Sublime | バークの崇高論 | Edmund Burke
1764 | Winckelmann's Neoclassicism | ヴィンケルマンの新古典主義 | Johann Winckelmann
1790 | Kantian Sublime | カントの崇高 | Immanuel Kant
1790 | Kantian Disinterested Pleasure | カントの無関心的快 | Immanuel Kant
1798 | Romanticism (Literary Manifesto) | ロマン主義（文学宣言） | Wordsworth/Coleridge
1810 | Beethoven's Romantic Music | ベートーヴェンのロマン派音楽 | Ludwig van Beethoven
1819 | Keats's Negative Capability | キーツのネガティヴ・ケイパビリティ | John Keats
1835 | Hegel's Aesthetics (Lectures) | ヘーゲル美学講義 | G.W.F. Hegel
1848 | Pre-Raphaelite Brotherhood | ラファエル前派 | Rossetti/Millais/Hunt
1850 | Realism (Art Movement) | リアリズム（芸術運動） | Gustave Courbet
1857 | Baudelaire's Modernism | ボードレールの近代性 | Charles Baudelaire
1862 | Japanese Influence on Western Art (Japonisme) | ジャポニスム | Various
1863 | Manet's Modern Painting | マネの近代絵画 | Edouard Manet
1874 | Impressionism | 印象派 | Monet/Renoir/Degas
1882 | Wagner's Gesamtkunstwerk | ワーグナーの総合芸術 | Richard Wagner
1886 | Post-Impressionism | 後期印象派 | Cezanne/Van Gogh/Gauguin
1888 | Arts and Crafts Movement | アーツ・アンド・クラフツ運動 | William Morris
1890 | Art Nouveau | アール・ヌーヴォー | Various
1893 | Symbolism (Art Movement) | 象徴主義 | Gustave Moreau/Odilon Redon
