# Engineering Historical Concepts - Research-verified list
# Format: era_start | name_en | name_ja | key_engineer

# === Pre-1800 ===
-312 | Roman Aqueduct Engineering | ローマ水道工学 | Appius Claudius Caecus
-250 | Archimedean Screw | アルキメデスのスクリュー | Archimedes
100 | Roman Concrete (Opus Caementicium) | ローマン・コンクリート | Roman engineers
105 | Papermaking | 製紙術 | Cai Lun
1040 | Movable Type Printing | 活版印刷術（畢昇） | Bi Sheng
1088 | Mechanical Clock | 機械式時計 | Su Song
1450 | Gutenberg Printing Press | グーテンベルク印刷機 | Johannes Gutenberg
1500 | Leonardo's Engineering Designs | レオナルド・ダ・ヴィンチの工学設計 | Leonardo da Vinci
1589 | Knitting Frame | 靴下編み機 | William Lee
1698 | Savery's Steam Pump | セイヴァリーの蒸気ポンプ | Thomas Savery
1712 | Newcomen Steam Engine | ニューコメンの蒸気機関 | Thomas Newcomen
1733 | Flying Shuttle | 飛び杼 | John Kay
1764 | Spinning Jenny | スピニング・ジェニー | James Hargreaves
1769 | Watt's Steam Engine | ワットの蒸気機関 | James Watt
1779 | Iron Bridge (Coalbrookdale) | 鉄橋（コールブルックデール） | Abraham Darby III
1783 | Montgolfier Hot Air Balloon | モンゴルフィエ熱気球 | Montgolfier brothers
1793 | Cotton Gin | 綿繰り機 | Eli Whitney
1796 | Hydraulic Press | 水圧プレス | Joseph Bramah

# === 19th Century ===
1804 | Steam Locomotive | 蒸気機関車 | Richard Trevithick
1807 | Steamboat (Commercial) | 蒸気船（商用） | Robert Fulton
1825 | Railway Engineering (Stockton-Darlington) | 鉄道工学 | George Stephenson
1831 | Electric Generator (Dynamo) | 発電機（ダイナモ） | Michael Faraday
1837 | Electric Telegraph | 電信 | Samuel Morse
1839 | Daguerreotype Photography | ダゲレオタイプ写真術 | Louis Daguerre
1844 | Morse Code Communication | モールス信号通信 | Samuel Morse
1855 | Bessemer Steel Process | ベッセマー製鋼法 | Henry Bessemer
1856 | Synthetic Dye (Mauveine) | 合成染料（モーヴ） | William Henry Perkin
1858 | Transatlantic Telegraph Cable | 大西洋横断電信ケーブル | Cyrus West Field
1860 | Internal Combustion Engine (Otto Cycle) | 内燃機関（オットーサイクル） | Nikolaus Otto
1866 | Dynamite | ダイナマイト | Alfred Nobel
1876 | Telephone | 電話 | Alexander Graham Bell
1877 | Phonograph | 蓄音機 | Thomas Edison
1879 | Incandescent Light Bulb | 白熱電球 | Thomas Edison
1882 | Pearl Street Power Station | パールストリート発電所 | Thomas Edison
1884 | Steam Turbine | 蒸気タービン | Charles Parsons
1885 | Automobile (Motorcar) | 自動車（モーターカー） | Karl Benz
1886 | AC Power System | 交流電力システム | Nikola Tesla
1888 | Alternating Current Motor | 交流モーター | Nikola Tesla
1895 | Diesel Engine | ディーゼルエンジン | Rudolf Diesel
1895 | Wireless Telegraphy | 無線電信 | Guglielmo Marconi
1895 | X-ray Imaging | X線撮影 | Wilhelm Roentgen
