# Humanities Historical Concepts - Research-verified list
# Format: era_start | name_en | name_ja | key_thinker
# Sources: Wikipedia, Stanford Encyclopedia of Philosophy, Britannica

# === Ancient (-500 to 500) ===
-585 | Milesian Natural Philosophy | ミレトス自然哲学 | Thales
-540 | Pythagoreanism | ピュタゴラス主義 | Pythagoras
-535 | Transmigration of Souls | 輪廻転生論 | Pythagoras
-500 | Heraclitean Flux | ヘラクレイトスの流転説 | Heraclitus
-500 | Logos (Heraclitus) | ロゴス（ヘラクレイトス） | Heraclitus
-485 | Eleatic Monism | エレア派一元論 | Parmenides
-460 | Atomism | 原子論 | Democritus
-450 | Sophism | ソフィスト思想 | Protagoras
-399 | Socratic Method | ソクラテス式問答法 | Socrates
-380 | Theory of Forms | イデア論 | Plato
-375 | Platonic Allegory of the Cave | 洞窟の比喩 | Plato
-370 | Platonic Tripartite Soul | 魂の三部分説 | Plato
-350 | Aristotelian Logic (Syllogism) | アリストテレス論理学（三段論法） | Aristotle
-350 | Aristotelian Four Causes | 四原因説 | Aristotle
-350 | Aristotelian Virtue Ethics | アリストテレス徳倫理学 | Aristotle
-350 | Aristotelian Metaphysics | アリストテレス形而上学 | Aristotle
-340 | Aristotelian Poetics | アリストテレス詩学（カタルシス論） | Aristotle
-307 | Epicureanism | エピクロス主義 | Epicurus
-301 | Stoic Ethics | ストア派倫理学 | Zeno of Citium
-301 | Stoic Logic | ストア派論理学 | Chrysippus
-270 | Pyrrhonian Skepticism | ピュロン懐疑主義 | Pyrrho
-500 | Confucian Ren (Benevolence) | 仁（儒教） | Confucius
-500 | Confucian Li (Ritual Propriety) | 礼（儒教） | Confucius
-500 | Daoist Wu Wei | 無為（道教） | Laozi
-500 | Daoist Dao | 道（道教） | Laozi
-470 | Mohist Universal Love | 兼愛（墨家） | Mozi
-350 | Legalism | 法家思想 | Han Feizi
-300 | Yin-Yang Theory | 陰陽論 | Zou Yan
-500 | Buddhist Four Noble Truths | 四聖諦（仏教） | Siddhartha Gautama
-500 | Buddhist Dependent Origination | 縁起（仏教） | Siddhartha Gautama
-500 | Upanishadic Atman-Brahman | アートマン＝ブラフマン | Upanishadic sages
-400 | Samkhya Dualism | サーンキヤ二元論 | Kapila
-200 | Nyaya Logic | ニヤーヤ論理学 | Gautama Aksapada
-150 | Mahayana Buddhism (Sunyata) | 大乗仏教（空） | Nagarjuna
250 | Neoplatonism | 新プラトン主義 | Plotinus
354 | Augustinian Theology | アウグスティヌス神学 | Augustine of Hippo
150 | Madhyamaka Philosophy | 中観派哲学 | Nagarjuna
300 | Yogacara (Consciousness-Only) | 唯識思想 | Asanga/Vasubandhu
-300 | Jain Anekantavada | ジャイナ教相対主義（多面実在論） | Mahavira tradition

# === Medieval (500-1500) ===
529 | Boethian Consolation | ボエティウスの慰め | Boethius
810 | Al-Kindi's Islamic Philosophy | アル・キンディーのイスラーム哲学 | Al-Kindi
870 | Al-Farabi's Political Philosophy | アル・ファーラービーの政治哲学 | Al-Farabi
1020 | Avicennian Metaphysics | イブン・シーナーの形而上学 | Ibn Sina (Avicenna)
1090 | Al-Ghazali's Occasionalism | アル・ガザーリーの機会原因論 | Al-Ghazali
1180 | Averroism | アヴェロエス主義 | Ibn Rushd (Averroes)
1130 | Maimonidean Rationalism | マイモニデスの合理主義 | Maimonides
1250 | Thomistic Natural Law | トマス主義自然法 | Thomas Aquinas
1265 | Thomistic Five Ways | トマスの五つの道 | Thomas Aquinas
