# Natural Sciences Historical Concepts - Research-verified list
# Format: era_start | name_en | name_ja | key_scientist
# Sources: Wikipedia, Britannica, scientific history references

# === Pre-1700 ===
-340 | Aristotelian Physics | アリストテレス自然学 | Aristotle
-300 | Euclidean Geometry | ユークリッド幾何学 | Euclid
-250 | Archimedes' Principle | アルキメデスの原理 | Archimedes
-250 | Archimedean Lever | アルキメデスのてこの原理 | Archimedes
150 | Ptolemaic Geocentric Model | プトレマイオスの天動説 | Ptolemy
830 | Algebra (Al-Khwarizmi) | 代数学（アル・フワーリズミー） | Al-Khwarizmi
1021 | Alhazen's Optics | アルハゼンの光学 | Ibn al-Haytham
1543 | Copernican Heliocentrism | コペルニクスの地動説 | Nicolaus Copernicus
1543 | Vesalian Anatomy | ヴェサリウスの人体解剖学 | Andreas Vesalius
1572 | Brahe's Observational Astronomy | ティコ・ブラーエの観測天文学 | Tycho Brahe
1600 | Gilbert's Magnetism | ギルバートの磁気学 | William Gilbert
1604 | Galilean Kinematics | ガリレオの運動学 | Galileo Galilei
1609 | Kepler's Laws of Planetary Motion | ケプラーの惑星運動の法則 | Johannes Kepler
1620 | Snell's Law of Refraction | スネルの屈折の法則 | Willebrord Snellius
1628 | Harveyian Blood Circulation | ハーヴェイの血液循環説 | William Harvey
1643 | Torricelli's Vacuum | トリチェリの真空 | Evangelista Torricelli
1644 | Cartesian Mechanics | デカルトの機械論的自然哲学 | Rene Descartes
1654 | Pascal's Probability Theory | パスカルの確率論 | Blaise Pascal
1662 | Boyle's Law | ボイルの法則 | Robert Boyle
1665 | Hooke's Microscopy | フックの顕微鏡観察 | Robert Hooke
1666 | Newton's Optics (Spectrum) | ニュートンの光学（スペクトル） | Isaac Newton
1676 | Leeuwenhoek's Microbiology | レーウェンフックの微生物学 | Antonie van Leeuwenhoek
1687 | Newtonian Mechanics | ニュートン力学 | Isaac Newton
1687 | Newton's Law of Universal Gravitation | ニュートンの万有引力の法則 | Isaac Newton
1687 | Newton's Three Laws of Motion | ニュートンの運動の三法則 | Isaac Newton
1684 | Leibniz's Calculus | ライプニッツの微積分法 | Gottfried Leibniz

# === 18th Century (1700-1800) ===
1735 | Linnaean Taxonomy | リンネの分類学 | Carl Linnaeus
1738 | Bernoulli's Fluid Dynamics | ベルヌーイの流体力学 | Daniel Bernoulli
1748 | Euler's Mathematical Analysis | オイラーの数学的解析 | Leonhard Euler
1752 | Franklin's Electrical Theory | フランクリンの電気理論 | Benjamin Franklin
1766 | Cavendish's Hydrogen Discovery | キャヴェンディッシュの水素発見 | Henry Cavendish
1772 | Priestley's Oxygen Discovery | プリーストリーの酸素発見 | Joseph Priestley
1785 | Coulomb's Law | クーロンの法則 | Charles-Augustin de Coulomb
1787 | Lavoisier's Oxygen Theory | ラヴォアジエの酸素説 | Antoine Lavoisier
1789 | Lavoisier's Conservation of Mass | ラヴォアジエの質量保存の法則 | Antoine Lavoisier
1796 | Jenner's Vaccination | ジェンナーの種痘法 | Edward Jenner
1798 | Malthusian Population Theory | マルサスの人口論 | Thomas Malthus
1799 | Laplacian Determinism | ラプラスの決定論 | Pierre-Simon Laplace
1755 | Kant-Laplace Nebular Hypothesis | カント＝ラプラスの星雲説 | Kant/Laplace
1760 | Black's Latent Heat | ブラックの潜熱 | Joseph Black
1774 | Priestly's Phlogiston Refutation | フロギストン説の否定 | Lavoisier
1783 | Herschel's Infrared Discovery | ハーシェルの赤外線発見 | William Herschel

# === 19th Century (1800-1900) ===
1803 | Dalton's Atomic Theory | ドルトンの原子説 | John Dalton
1805 | Young's Wave Theory of Light | ヤングの光の波動説 | Thomas Young
1811 | Avogadro's Molecular Hypothesis | アヴォガドロの分子仮説 | Amedeo Avogadro
1820 | Oersted's Electromagnetism | エルステッドの電磁気学 | Hans Christian Oersted
1824 | Carnot's Thermodynamic Cycle | カルノーの熱力学サイクル | Sadi Carnot
1827 | Ohm's Law | オームの法則 | Georg Simon Ohm
1831 | Faraday's Electromagnetic Induction | ファラデーの電磁誘導 | Michael Faraday
1838 | Cell Theory | 細胞説 | Schleiden/Schwann
1842 | Conservation of Energy (First Law) | エネルギー保存の法則（熱力学第一法則） | Julius Robert von Mayer
