# Social Sciences Historical Concepts - Research-verified list
# Format: era_start | name_en | name_ja | key_thinker

# === Pre-1800 ===
1377 | Asabiyyah (Social Cohesion) | アサビーヤ（社会的結束） | Ibn Khaldun
1513 | Machiavellian Realpolitik | マキャヴェリのリアルポリティク | Machiavelli
1651 | Hobbesian State of Nature | ホッブズの自然状態 | Thomas Hobbes
1689 | Lockean Natural Rights | ロックの自然権 | John Locke
1748 | Montesquieu's Separation of Powers | モンテスキューの三権分立論 | Montesquieu
1755 | Rousseau's Noble Savage | ルソーの高貴な野蛮人 | Rousseau
1762 | Rousseau's Social Contract Theory | ルソーの社会契約論 | Rousseau
1776 | Smith's Division of Labor | スミスの分業論 | Adam Smith
1776 | Smith's Free Market Theory | スミスの自由市場理論 | Adam Smith
1776 | Smith's Theory of Moral Sentiments | スミスの道徳感情論 | Adam Smith
1789 | Malthus's Population Principle | マルサスの人口論 | Thomas Malthus
1790 | Burke's Conservatism | バークの保守主義 | Edmund Burke

# === 19th Century ===
1807 | Hegel's Master-Slave Dialectic | ヘーゲルの主人と奴隷の弁証法 | Hegel
1830 | Comte's Positivism | コントの実証主義 | Auguste Comte
1830 | Comte's Three Stages Theory | コントの三段階の法則 | Auguste Comte
1835 | Tocqueville's Democracy Theory | トクヴィルの民主主義論 | Alexis de Tocqueville
1848 | Marx's Class Struggle Theory | マルクスの階級闘争理論 | Karl Marx
1859 | Marx's Mode of Production | マルクスの生産様式 | Karl Marx
1867 | Marx's Theory of Surplus Value | マルクスの剰余価値論 | Karl Marx
1867 | Marx's Commodity Fetishism | マルクスの商品フェティシズム | Karl Marx
1862 | Spencer's Social Darwinism | スペンサーの社会ダーウィニズム | Herbert Spencer
1871 | Menger's Marginal Utility Theory | メンガーの限界効用理論 | Carl Menger
1887 | Tönnies's Gemeinschaft and Gesellschaft | テンニースのゲマインシャフトとゲゼルシャフト | Ferdinand Tonnies
1893 | Durkheim's Social Facts | デュルケームの社会的事実 | Emile Durkheim
1893 | Durkheim's Division of Labor | デュルケームの社会分業論 | Emile Durkheim
1895 | Durkheim's Methodological Rules | デュルケームの社会学的方法の規準 | Emile Durkheim
1897 | Durkheim's Anomie | デュルケームのアノミー | Emile Durkheim
1897 | Durkheim's Suicide Theory | デュルケームの自殺論 | Emile Durkheim
1892 | Simmel's Formal Sociology | ジンメルの形式社会学 | Georg Simmel
1900 | Simmel's Philosophy of Money | ジンメルの貨幣の哲学 | Georg Simmel
1899 | Veblen's Conspicuous Consumption | ヴェブレンの誇示的消費 | Thorstein Veblen
1904 | Weber's Protestant Ethic | ウェーバーのプロテスタンティズムの倫理 | Max Weber
1904 | Weber's Ideal Type | ウェーバーの理念型 | Max Weber
1922 | Weber's Bureaucratic Theory | ウェーバーの官僚制論 | Max Weber
1904 | Weber's Verstehen (Interpretive Sociology) | ウェーバーの理解社会学 | Max Weber

# === Early 20th Century (1900-1950) ===
1902 | Pareto's Elite Theory | パレートのエリート理論 | Vilfredo Pareto
1906 | Pareto Optimality | パレート最適 | Vilfredo Pareto
1912 | Mosca's Ruling Class | モスカの支配階級論 | Gaetano Mosca
1913 | Watson's Behaviorism | ワトソンの行動主義 | John B. Watson
1918 | Chicago School Sociology | シカゴ学派社会学 | Robert Park/Ernest Burgess
1922 | Malinowski's Participant Observation | マリノフスキーの参与観察 | Bronislaw Malinowski
1934 | Mead's Symbolic Interactionism | ミードの象徴的相互作用論 | George Herbert Mead
1929 | Mannheim's Sociology of Knowledge | マンハイムの知識社会学 | Karl Mannheim
1936 | Keynes's General Theory | ケインズの一般理論 | John Maynard Keynes
1936 | Keynesian Multiplier Effect | ケインズの乗数効果 | John Maynard Keynes
1937 | Parsons's Structural Functionalism | パーソンズの構造機能主義 | Talcott Parsons
1944 | Game Theory | ゲーム理論 | von Neumann/Morgenstern
1944 | Polanyi's Great Transformation | ポランニーの大転換 | Karl Polanyi
1944 | Polanyi's Embeddedness | ポランニーの埋め込み | Karl Polanyi
1938 | Skinner's Operant Conditioning | スキナーのオペラント条件づけ | B.F. Skinner
1945 | Open Society (Popper) | 開かれた社会（ポパー） | Karl Popper
1948 | Universal Declaration of Human Rights | 世界人権宣言 | UN Commission
1949 | Beauvoir's Second Sex | ボーヴォワールの第二の性 | Simone de Beauvoir
1950 | Nash Equilibrium | ナッシュ均衡 | John Nash
1951 | Arrow's Impossibility Theorem | アローの不可能性定理 | Kenneth Arrow

# === Mid 20th Century (1950-1980) ===
1956 | Cognitive Revolution | 認知革命 | Miller/Bruner/Chomsky
1957 | Chomsky's Generative Grammar | チョムスキーの生成文法 | Noam Chomsky
1957 | Festinger's Cognitive Dissonance | フェスティンガーの認知的不協和 | Leon Festinger
1959 | Goffman's Dramaturgical Sociology | ゴフマンのドラマトゥルギー | Erving Goffman
1961 | Fanon's Decolonization Theory | ファノンの脱植民地化理論 | Frantz Fanon
1962 | Dependency Theory | 従属理論 | Raul Prebisch/Andre Gunder Frank
1963 | Milgram's Obedience Study | ミルグラムの服従実験 | Stanley Milgram
1966 | Berger-Luckmann Social Construction | バーガー＝ルックマンの社会構成 | Berger/Luckmann
1966 | Foucault's Episteme | フーコーのエピステーメー | Michel Foucault
1971 | Rawls's Theory of Justice | ロールズの正義論 | John Rawls
1971 | Rawls's Veil of Ignorance | ロールズの無知のヴェール | John Rawls
