
=== marketing_sales ===
  [marketing_sales] 9612 concepts to verify
    [marketing_sales] 192/9612 (2.0%) rate=66.2/s eta=2.4min v=15 d=74 r=0 u=103
    [marketing_sales] 384/9612 (4.0%) rate=92.5/s eta=1.7min v=20 d=75 r=0 u=289
    [marketing_sales] 576/9612 (6.0%) rate=105.3/s eta=1.4min v=20 d=78 r=0 u=478
    [marketing_sales] 768/9612 (8.0%) rate=108.2/s eta=1.4min v=22 d=80 r=0 u=666
    [marketing_sales] 960/9612 (10.0%) rate=113.3/s eta=1.3min v=22 d=83 r=0 u=855
    [marketing_sales] 1152/9612 (12.0%) rate=114.7/s eta=1.2min v=23 d=86 r=0 u=1043
    [marketing_sales] 1344/9612 (14.0%) rate=116.7/s eta=1.2min v=26 d=89 r=0 u=1229
    [marketing_sales] 1536/9612 (16.0%) rate=111.6/s eta=1.2min v=27 d=91 r=0 u=1418
    [marketing_sales] 1728/9612 (18.0%) rate=111.4/s eta=1.2min v=27 d=93 r=0 u=1608
    [marketing_sales] 1920/9612 (20.0%) rate=107.9/s eta=1.2min v=27 d=97 r=0 u=1796
    [marketing_sales] 2112/9612 (22.0%) rate=97.7/s eta=1.3min v=27 d=100 r=0 u=1985
    [marketing_sales] 2304/9612 (24.0%) rate=90.4/s eta=1.3min v=27 d=102 r=0 u=2175
    [marketing_sales] 2496/9612 (26.0%) rate=88.0/s eta=1.3min v=27 d=107 r=0 u=2362
    [marketing_sales] 2688/9612 (28.0%) rate=86.5/s eta=1.3min v=27 d=111 r=0 u=2550
    [marketing_sales] 2880/9612 (30.0%) rate=83.9/s eta=1.3min v=27 d=112 r=0 u=2741
    [marketing_sales] 3072/9612 (32.0%) rate=81.0/s eta=1.3min v=27 d=115 r=0 u=2930
    [marketing_sales] 3264/9612 (34.0%) rate=76.9/s eta=1.4min v=27 d=116 r=0 u=3121
    [marketing_sales] 3456/9612 (36.0%) rate=72.3/s eta=1.4min v=27 d=120 r=0 u=3309
    [marketing_sales] 3648/9612 (38.0%) rate=69.9/s eta=1.4min v=27 d=124 r=0 u=3497
    [marketing_sales] 3840/9612 (40.0%) rate=65.8/s eta=1.5min v=27 d=126 r=0 u=3687
    [marketing_sales] 4032/9612 (41.9%) rate=63.9/s eta=1.5min v=27 d=129 r=0 u=3876
    [marketing_sales] 4224/9612 (43.9%) rate=62.2/s eta=1.4min v=27 d=129 r=0 u=4068
    [marketing_sales] 4416/9612 (45.9%) rate=60.8/s eta=1.4min v=27 d=130 r=0 u=4259
    [marketing_sales] 4608/9612 (47.9%) rate=59.4/s eta=1.4min v=27 d=130 r=0 u=4451
    [marketing_sales] 4800/9612 (49.9%) rate=57.9/s eta=1.4min v=27 d=132 r=0 u=4641
